#dt=0.01 mode=1 tensor_mode=tensor6 branch=reduced centered=1 transform=caft Gtcut=55 tail_param=2
#raw_output=1 trusted_time=3.52 trusted_points=52 tail_sigma=0.00547664
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=CAFT-Bounds v1: trusted-prefix detection plus nonnegative multi-exponential tail continuation; bounds are generated from ±sigma tail envelopes on the trusted window.
#muF_raw=0.814075
#Frequency(1/time_unit) Gw_storage_red_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
11.8157 -0.0188737 0.072171 0.0745981 -0.0226666 -0.0174552 0.0706915 0.0761274
14.6289 0.0362195 0.0518788 0.0632713 0.0356712 0.0376852 0.0465926 0.0538557
18.112 -0.00133703 0.0635137 0.0635277 -0.00242223 0.00156463 0.0588616 0.0652534
22.4244 -0.00589542 0.0925629 0.0927505 -0.0106698 -0.00410988 0.0915775 0.0951981
27.7636 -0.0160404 0.0857649 0.087252 -0.0208761 -0.0142319 0.0848278 0.0882708
34.374 0.0175719 0.153162 0.154167 0.0163894 0.0180142 0.147848 0.155149
42.5582 0.0168512 0.185771 0.186534 0.0154014 0.0207279 0.184339 0.189601
52.6912 -0.0316579 0.16971 0.172637 -0.0366727 -0.0297825 0.168951 0.17174
65.2367 -0.00355231 0.244437 0.244463 -0.00792282 -0.00191783 0.243269 0.247561
80.7692 0.0321788 0.341401 0.342914 0.0301171 0.0329499 0.336473 0.343244
100 0.15372 0.401513 0.429933 0.152149 0.15792 0.398383 0.402684
