#dt=0.01 mode=0 tensor_mode=shear3 branch=reduced centered=1 transform=direct Gtcut=100 tail_param=2
#raw_output=1 trusted_time=7.68 trusted_points=61 tail_sigma=0.0479737
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=Current VELA direct transform on the multi-tau grid with the legacy k-sigma confidence cutoff reinterpreted as a trusted-window detector.
#muF_raw=1.614
#Frequency(1/time_unit) Gw_storage_red_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
0.15625 -0.0199361 0.100679 0.102634 -0.0199361 -0.0199361 0.100679 0.100679
0.173611 -0.0224788 0.116214 0.118368 -0.0224788 -0.0224788 0.116214 0.116214
0.195312 -0.0243196 0.13074 0.132983 -0.0243196 -0.0243196 0.13074 0.13074
0.208333 -0.0257637 0.149191 0.1514 -0.0257637 -0.0257637 0.149191 0.149191
0.223214 -0.0260726 0.164728 0.166778 -0.0260726 -0.0260726 0.164728 0.164728
0.240385 -0.0253903 0.183372 0.185121 -0.0253903 -0.0253903 0.183372 0.183372
0.260417 -0.0229701 0.205916 0.207193 -0.0229701 -0.0229701 0.205916 0.205916
0.284091 -0.0175456 0.2333 0.233959 -0.0175456 -0.0175456 0.2333 0.2333
0.3125 -0.0069603 0.266485 0.266576 -0.0069603 -0.0069603 0.266485 0.266485
0.347222 0.012433 0.305995 0.306247 0.012433 0.012433 0.305995 0.305995
0.390625 0.0347018 0.338966 0.340738 0.0347018 0.0347018 0.338966 0.338966
0.416667 0.0681799 0.373746 0.379914 0.0681799 0.0681799 0.373746 0.373746
0.446429 0.0997732 0.395513 0.407903 0.0997732 0.0997732 0.395513 0.395513
0.480769 0.13951 0.412899 0.435831 0.13951 0.13951 0.412899 0.412899
0.520833 0.187493 0.421236 0.461078 0.187493 0.187493 0.421236 0.421236
0.568182 0.241069 0.413537 0.478673 0.241069 0.241069 0.413537 0.413537
0.625 0.291201 0.38098 0.479524 0.291201 0.291201 0.38098 0.38098
0.694444 0.316127 0.317355 0.44794 0.316127 0.316127 0.317355 0.317355
0.78125 0.302375 0.254564 0.395264 0.302375 0.302375 0.254564 0.254564
0.833333 0.231884 0.192852 0.3016 0.231884 0.231884 0.192852 0.192852
0.892857 0.137 0.179444 0.225764 0.137 0.137 0.179444 0.179444
0.961538 0.0102451 0.21868 0.21892 0.0102451 0.0102451 0.21868 0.21868
1.04167 -0.12314 0.344158 0.365525 -0.12314 -0.12314 0.344158 0.344158
1.13636 -0.202655 0.577687 0.612202 -0.202655 -0.202655 0.577687 0.577687
1.25 -0.135579 0.885518 0.895837 -0.135579 -0.135579 0.885518 0.885518
1.38889 0.13145 1.1277 1.13533 0.13145 0.13145 1.1277 1.1277
1.5625 0.400255 1.18158 1.24753 0.400255 0.400255 1.18158 1.18158
1.66667 0.593041 1.07551 1.22817 0.593041 0.593041 1.07551 1.07551
1.78571 0.583601 1.02693 1.18118 0.583601 0.583601 1.02693 1.02693
1.92308 0.564736 1.13166 1.26474 0.564736 0.564736 1.13166 1.13166
2.08333 0.747176 1.33727 1.53185 0.747176 0.747176 1.33727 1.33727
2.27273 1.16636 1.31751 1.75961 1.16636 1.16636 1.31751 1.31751
2.5 1.36317 0.935526 1.65331 1.36317 1.36317 0.935526 0.935526
2.77778 1.17798 0.799491 1.42367 1.17798 1.17798 0.799491 0.799491
3.125 1.14519 0.965646 1.49798 1.14519 1.14519 0.965646 0.965646
3.33333 1.52022 0.994698 1.81672 1.52022 1.52022 0.994698 0.994698
3.57143 1.61284 0.765413 1.78525 1.61284 1.61284 0.765413 0.765413
3.84615 1.60728 0.593838 1.71347 1.60728 1.60728 0.593838 0.593838
4.16667 1.51785 0.478914 1.59161 1.51785 1.51785 0.478914 0.478914
4.54545 1.47562 0.443149 1.54072 1.47562 1.47562 0.443149 0.443149
5 1.4358 0.495057 1.51875 1.4358 1.4358 0.495057 0.495057
5.55556 1.46253 0.44026 1.52736 1.46253 1.46253 0.44026 0.44026
6.25 1.51176 0.451565 1.57777 1.51176 1.51176 0.451565 0.451565
6.66667 1.71774 0.468172 1.78039 1.71774 1.71774 0.468172 0.468172
7.14286 1.5717 0.375358 1.6159 1.5717 1.5717 0.375358 0.375358
7.69231 1.48739 0.254558 1.50902 1.48739 1.48739 0.254558 0.254558
8.33333 1.56788 0.137459 1.5739 1.56788 1.56788 0.137459 0.137459
9.09091 1.56148 0.188885 1.57287 1.56148 1.56148 0.188885 0.188885
10 1.52476 0.189876 1.53653 1.52476 1.52476 0.189876 0.189876
11.1111 1.43834 0.388287 1.48982 1.43834 1.43834 0.388287 0.388287
12.5 1.62482 0.0808761 1.62683 1.62482 1.62482 0.0808761 0.0808761
14.2857 1.48339 0.120849 1.4883 1.48339 1.48339 0.120849 0.120849
16.6667 1.54959 0.0256808 1.5498 1.54959 1.54959 0.0256808 0.0256808
20 1.48666 0.067225 1.48818 1.48666 1.48666 0.067225 0.067225
25 1.49836 0.152149 1.50606 1.49836 1.49836 0.152149 0.152149
33.3333 1.61235 0.22618 1.62814 1.61235 1.61235 0.22618 0.22618
50 1.70923 -0.0293584 1.70948 1.70923 1.70923 -0.0293584 -0.0293584
100 1.62631 -0.100625 1.62942 1.62631 1.62631 -0.100625 -0.100625
