#dt=0.01 mode=0 tensor_mode=shear3 branch=absolute centered=1 transform=caft Gtcut=100 tail_param=2
#raw_output=1 trusted_time=7.68 trusted_points=61 tail_sigma=0.0479737
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=CAFT-Bounds v1: trusted-prefix detection plus nonnegative multi-exponential tail continuation; bounds are generated from ±sigma tail envelopes on the trusted window.
#muF_raw=1.614 muA_raw=2 muA_stderr_raw=0.057735 muA_n=3 muA_source=tmp/mua_series.dat Ge_raw=0.386
#Frequency(1/time_unit) Gw_storage_abs_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
0.234969 0.358587 0.149838 0.388633 0.356355 0.358587 0.125375 0.161039
0.291677 0.356205 0.217604 0.417413 0.343216 0.361144 0.196617 0.227776
0.362072 0.381682 0.308763 0.490933 0.359421 0.391459 0.297924 0.314572
0.449457 0.460972 0.404259 0.613123 0.436857 0.472228 0.402335 0.410079
0.557931 0.602914 0.445057 0.749387 0.591327 0.608805 0.435237 0.46702
0.692585 0.727474 0.34771 0.806301 0.721803 0.740695 0.337737 0.36874
0.859736 0.612263 0.167737 0.634825 0.601138 0.636111 0.160766 0.170568
1.06723 0.208771 0.351421 0.408756 0.201044 0.212029 0.327798 0.362428
1.3248 0.317114 1.09658 1.14151 0.298614 0.32583 1.08911 1.1132
1.64453 1.02379 1.09096 1.49611 1.0123 1.04866 1.08963 1.09136
2.04143 0.947711 1.30484 1.61269 0.922794 0.959225 1.30394 1.30543
2.53412 1.95395 0.77354 2.1015 1.94446 1.97433 0.759269 0.780006
3.14572 1.63802 1.25957 2.06631 1.63157 1.65214 1.25001 1.28011
3.90492 1.97656 0.689733 2.09345 1.97486 1.98042 0.678395 0.714284
4.84736 1.91844 0.615526 2.01476 1.90815 1.94079 0.610414 0.626446
6.01724 1.73081 0.227114 1.74565 1.71509 1.73803 0.207821 0.236058
7.46948 2.01667 0.225504 2.02924 2.00904 2.0331 0.206816 0.234098
9.2722 1.77014 0.166799 1.77798 1.75676 1.77628 0.145789 0.17654
11.51 2.11619 0.231174 2.12877 2.10601 2.13818 0.219527 0.236528
14.2879 1.83981 0.128014 1.84426 1.81524 1.85115 0.124153 0.129824
17.7362 1.92342 0.325997 1.95085 1.91468 1.92747 0.315251 0.349275
22.0167 2.14954 0.185899 2.15756 2.1392 2.17192 0.180906 0.196683
27.3303 1.83072 0.0547071 1.83154 1.80842 1.84101 0.0438121 0.0597526
33.9264 1.84444 0.0909835 1.84669 1.81968 1.85588 0.0902694 0.0913218
42.1143 1.835 0.0611134 1.83601 1.81033 1.84639 0.0603954 0.0626882
52.2784 2.13803 0.127069 2.14181 2.12742 2.16103 0.123007 0.13585
64.8956 1.87284 -0.0849248 1.87477 1.85565 1.88078 -0.102322 -0.0768855
80.5578 1.83372 0.0788124 1.83541 1.80994 1.84471 0.0766755 0.0834456
100 1.94015 -0.111704 1.94336 1.93129 1.94424 -0.133872 -0.101461
